firm_name,type,sra_id,is_sra_regulated,telephone,email,website,profile_url,address_raw,city,county,postal_code,country,google_map,areas_of_practice_branch,areas_of_practice_org,languages_at_branch,languages_at_org,accreditations,total_people,total_solicitors,total_sra_managers,total_offices,has_disabled_access,has_induction_loops,accepts_legal_aid,provides_sign_language
Missing,Missing,Missing,True,Missing,Missing,Missing,https://solicitors.lawsociety.org.uk/office/36363/gorvett-bailey,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,False,False,False,False
LABRUMS SOLICITORS LLP,Recognised body law practice,574040,True,01727858807,crt@labrums.co.uk,http://www.labrums.co.uk,https://solicitors.lawsociety.org.uk/office/539073/labrums-solicitors-llp,"Address
New Barnes Mill, Cottonmill Lane, St. Albans, Hertfordshire, AL1 2HA, England",St. Albans,Hertfordshire,AL1 2HA,England,https://maps.google.co.uk/maps?q=AL1%202HA,"Commercial litigation, Commercial property, Company and commercial, Conveyancing - residential, Conveyancing Quality Scheme, Debt and bankruptcy - personal, Debt recovery, European Community law, Insolvency and restructuring - business, Landlord and tenant - residential, Litigation - general, LPA - Health and Welfare, LPA - Property and Affairs, Private client - Probate, Private client - Wills","Commercial litigation, Commercial property, Company and commercial, Conveyancing - residential, Conveyancing Quality Scheme, Debt and bankruptcy - personal, Debt recovery, European Community law, Insolvency and restructuring - business, Landlord and tenant - residential, Litigation - general, LPA - Health and Welfare, LPA - Property and Affairs, Private client - Probate, Private client - Wills",Missing,Missing,Missing,", , , ",Missing,Missing,Missing,False,False,False,False
JOHN SISK & SON LTD,Not an SRA-regulated law practice,497737,True,01727871410,Missing,http://www.sisk.co.uk,https://solicitors.lawsociety.org.uk/office/493936/john-sisk-son-ltd,"Address
1 Curo Park, Frogmore, St. Albans, Hertfordshire, AL2 2DD, England",St. Albans,Hertfordshire,AL2 2DD,England,https://maps.google.co.uk/maps?q=AL2%202DD,"Commercial litigation, Company and commercial, Construction, Litigation - general","Commercial litigation, Company and commercial, Construction, Litigation - general",Missing,Missing,Missing,", , ",Missing,Missing,Missing,False,False,False,False
CITY LAWYERS (PERSONAL INJURY) LIMITED,Recognised body law practice,520457,True,01727228890,enquiries@city-lawyers.com,http://www.city-lawyers.com,https://solicitors.lawsociety.org.uk/office/471568/city-lawyers-personal-injury-limited,"Address
Suite 3, Phoenix House, 63 Campfiled Road, St. Albans, Hertfordshire, AL1 5FL, England",St. Albans,Hertfordshire,AL1 5FL,England,https://maps.google.co.uk/maps?q=AL1%205FL,"Clinical negligence, Litigation - general, Personal injury","Clinical negligence, Litigation - general, Personal injury",Missing,Missing,Missing,", , , ",Missing,Missing,Missing,False,False,False,False
JO COUCHMAN LIMITED,Recognised body law practice,651740,True,07909917969,jo@jocouchman.com,Missing,https://solicitors.lawsociety.org.uk/office/615052/jo-couchman-limited,"Address
9 Beaumont Avenue, St Albans, Hertfordshire, AL1 4TH, England",St Albans,Hertfordshire,AL1 4TH,England,https://maps.google.co.uk/maps?q=AL1%204TH,Missing,Missing,Missing,Missing,Missing,", , , ",Missing,Missing,Missing,False,False,False,False
ABBEY LAW LIMITED,Recognised body law practice,657232,True,01727839162,afsana@abbeylaw.org,http://www.abbeylaw.org,https://solicitors.lawsociety.org.uk/office/621087/abbey-law-limited,"Address
131 - 133 Hatfield Road, St Albans, Hertfordshire, AL1 4JS, England",St Albans,Hertfordshire,AL1 4JS,England,https://maps.google.co.uk/maps?q=AL1%204JS,"Commercial property, Conveyancing - residential, Conveyancing Quality Scheme, Crime - motoring, Family - divorce and separation, Family - general, Family, Family - marriage and civil partnerships, Immigration - asylum, Immigration - general, Immigration - nationality and citizenship, Landlord and tenant - commercial, Landlord and tenant - residential, Private client - disputed probate, Private client - disputed trusts, Private client - disputed wills, Private client - Probate, Private client - trusts, Private client - Wills","Commercial property, Conveyancing - residential, Conveyancing Quality Scheme, Crime - motoring, Family - divorce and separation, Family - general, Family, Family - marriage and civil partnerships, Immigration - asylum, Immigration - general, Immigration - nationality and citizenship, Landlord and tenant - commercial, Landlord and tenant - residential, Private client - disputed probate, Private client - disputed trusts, Private client - disputed wills, Private client - Probate, Private client - trusts, Private client - Wills",Missing,Missing,Missing,", , , ",Missing,Missing,Missing,False,False,False,False
AHS LAW,Recognised sole practice law practice,8013533,True,Missing,Missing,Missing,https://solicitors.lawsociety.org.uk/office/59822/ahs-law,"Address
Fountain Court, 2 Victoria Square, Victoria Street, St. Albans, AL1 3TF, England",Victoria Street,St. Albans,AL1 3TF,England,https://maps.google.co.uk/maps?q=AL1%203TF,Missing,Missing,Missing,Missing,Missing,", , , ",Missing,Missing,Missing,False,False,False,False
ANNE WOODCOCK & CO,Recognised sole practice law practice,288282,True,07990574249,annew@annewoodcock.co.uk,Missing,https://solicitors.lawsociety.org.uk/office/439325/anne-woodcock-co,"Address
Suite 218,, 2 Foutain Court, Victoria Square, St. Albans, Hertfordshire, AL1 3TF, England",St. Albans,Hertfordshire,AL1 3TF,England,https://maps.google.co.uk/maps?q=AL1%203TF,"Crime - fraud, Higher courts rights - criminal, Criminal Litigation, Crime - general, Higher courts rights - criminal, Criminal Litigation","Crime - fraud, Criminal Litigation, Higher courts rights - criminal, Crime - general, Criminal Litigation, Higher courts rights - criminal",Missing,Missing,Missing,", , , ",Missing,Missing,Missing,False,False,False,False
FULLERS FAMILY LAW LIMITED,Recognised body law practice,8008202,True,01727789014,Missing,Missing,https://solicitors.lawsociety.org.uk/office/40535/fullers-family-law-limited,"Address
Regus Office Building, Fountain Court, Victoria Square, Victoria Street, St. Albans, AL1 3TF, England",Victoria Street,St. Albans,AL1 3TF,England,https://maps.google.co.uk/maps?q=AL1%203TF,"Children, Family - divorce and separation, Family - general, Family - marriage and civil partnerships, Family - mediation, Litigation - general","Children, Family - divorce and separation, Family - general, Mediation - Family, Family - marriage and civil partnerships, Family - mediation, Mediation - Family, Litigation - general, Higher courts rights - civil",Missing,Missing,Missing,", , , ",Missing,Missing,Missing,False,False,False,False
Kingston Smith Llp,Licensed body law practice (ABS),625001,True,Missing,Missing,Missing,https://solicitors.lawsociety.org.uk/office/592186/kingston-smith-llp,"Address
4 Victoria Square, St. Albans, Hertfordshire, AL1 3TF, England",St. Albans,Hertfordshire,AL1 3TF,England,https://maps.google.co.uk/maps?q=AL1%203TF,Missing,"Banking, Company and commercial, Corporate finance, Insolvency and restructuring - business, Intellectual property, Mergers and acquisitions, Private client - Probate, Private client - trusts, Private client - Wills, Tax",Missing,Missing,Missing,Missing,Missing,Missing,Missing,False,False,False,False
